coadd_id,ra,dec,A_IMAGE,B_IMAGE,mag_auto_g,flux_radius_g,mu_max_g,mu_max_model_g,mu_eff_model_g,mu_mean_model_g,mag_auto_r,flux_radius_r,mu_max_r,mu_max_model_r,mu_eff_model_r,mu_mean_model_r,mag_auto_i,flux_radius_i,mu_max_i,mu_max_model_i,mu_eff_model_i,mu_mean_model_i
453539280.0,87.016294,-53.274691,7.019073,5.544551,20.415731,2.691904,23.610592,23.359049,25.159588,24.460808,19.924072,2.568648,22.913967,22.71998,24.522297,23.822601,19.761673,2.546081,22.743431,22.543142,24.342928,23.644974
268458384.0,26.103511,-2.325314,7.014716,6.196849,20.201262,3.153196,23.672861,23.475035,25.276871,24.578676,19.770714,3.017172,23.07789,22.926769,24.72765,24.029844,19.614616,2.797421,22.76672,22.618071,24.420321,23.721029
142209651.0,0.772253,-53.121462,2.442875,1.73597,22.192022,2.656945,24.795349,25.705357,27.50206,26.803347,21.622746,2.736042,24.480772,25.073137,26.872766,26.173473,21.361757,2.859842,23.991938,25.139528,26.931839,26.236998
369290029.0,53.942941,-35.989321,38.717377,20.678303,16.956934,12.600674,21.750807,23.395281,25.191025,24.491819,16.350702,12.46422,20.803463,22.7913,24.585508,23.887777,16.121658,12.251584,20.62607,22.512079,24.305864,23.607944
218849496.0,330.58361,-59.156476,6.44459,4.195834,20.710365,2.649504,23.818991,23.462517,25.261448,24.55971,20.395191,2.400784,23.137737,22.876078,24.670488,23.973705,20.201778,2.227153,22.804541,22.478502,24.273081,23.574287
337638211.0,44.839157,-13.106517,7.969668,5.047537,20.441389,3.356822,24.045221,24.014286,25.806421,25.11132,19.845715,3.353415,23.509327,23.427282,25.218687,24.524218,19.604113,3.471358,23.197262,23.235996,25.034313,24.333616
122149263.0,348.755729,-1.745999,15.060483,5.766782,19.460587,5.137351,23.691763,23.707888,25.495882,24.801331,18.818003,5.183088,23.092915,23.085703,24.875164,24.176073,18.549753,5.22777,22.813936,22.882895,24.677317,23.972767
395915006.0,75.107539,-38.316955,7.756557,4.893771,20.477814,2.603747,23.624346,23.248463,25.042931,24.347136,19.848936,2.613846,23.021406,22.633194,24.427805,23.732637,19.572298,2.56724,22.560928,22.309425,24.104414,23.408457
293410241.0,16.183082,-20.68436,6.739665,4.520847,20.433981,2.562306,23.695868,23.386883,25.18417,24.487833,20.163876,2.534682,23.397154,23.117334,24.912754,24.217619,20.105743,2.329731,22.84622,22.927197,24.723326,24.027807
95001735.0,34.19171,-47.720805,6.22805,5.989886,20.409401,3.632369,23.923996,24.095541,25.900677,25.201305,19.975246,3.639651,23.618069,23.663206,25.465794,24.768623,19.799078,3.50673,23.159977,23.436817,25.24069,24.543016
